Klatka,Biodro_X,Biodro_Y,Kolano_X,Kolano_Y,Kostka_X,Kostka_Y
1236,561.7835083007812,743.5305786132812,677.3594970703125,1043.5428466796875,883.2958374023438,1313.1217041015625
1237,555.9847412109375,778.4136352539062,647.810791015625,1036.3720703125,881.0425415039062,1291.451416015625
1238,546.43115234375,781.0526733398438,623.868408203125,1050.2454833984375,872.7233276367188,1272.826171875
1239,550.6825561523438,786.7219848632812,610.702880859375,1066.3062744140625,850.156005859375,1268.9417724609375
1240,539.8595581054688,802.6245727539062,572.8070068359375,1071.661376953125,821.6917114257812,1258.4063720703125
1241,549.13134765625,806.8535766601562,543.0045776367188,1065.3067626953125,792.9826049804688,1252.80029296875
1242,557.5227661132812,797.7096557617188,517.2902221679688,1077.257568359375,738.9437866210938,1289.748046875
1243,544.9329833984375,786.1043701171875,478.8990783691406,1090.135986328125,691.6561889648438,1333.2784423828125
1244,540.9278564453125,762.10693359375,469.12939453125,1069.0987548828125,604.1163940429688,1320.265380859375
1245,531.2939453125,761.6417236328125,447.7720031738281,1060.369140625,557.6337280273438,1329.4940185546875
1246,526.4508666992188,749.5903930664062,438.0652160644531,1061.0693359375,490.9729919433594,1354.1793212890625
1247,533.3629760742188,746.7606811523438,437.80426025390625,1067.7744140625,434.79833984375,1370.09521484375
1248,552.3206176757812,750.2966918945312,432.52569580078125,1080.4229736328125,415.0784912109375,1370.7738037109375
1249,552.0009765625,759.2737426757812,420.23291015625,1105.4747314453125,420.76702880859375,1370.2149658203125
1250,552.3291015625,777.57568359375,416.8204650878906,1138.8660888671875,450.6617431640625,1370.247314453125
1251,521.9880981445312,808.721923828125,391.1158447265625,1161.8616943359375,488.78265380859375,1358.3533935546875
1252,524.1741943359375,834.4453735351562,415.17022705078125,1167.6446533203125,568.2249755859375,1364.4620361328125
1253,558.8433227539062,830.5805053710938,457.0177001953125,1155.925537109375,655.9716796875,1376.7935791015625
1254,550.5752563476562,819.829833984375,482.3533935546875,1122.2554931640625,716.834228515625,1334.95751953125
1255,575.7559814453125,783.19921875,514.5884399414062,1109.9100341796875,722.4483032226562,1370.9796142578125
1256,582.2127685546875,762.9774169921875,575.023681640625,1100.9000244140625,779.62939453125,1385.503173828125
1257,577.7186889648438,741.3814086914062,615.554443359375,1073.468994140625,815.6611328125,1364.0152587890625
1258,570.1488647460938,732.6637573242188,648.1563110351562,1049.1798095703125,828.2415161132812,1332.6142578125
1259,551.4175415039062,737.847900390625,667.2762451171875,1041.1065673828125,862.021240234375,1309.4754638671875
1260,554.4784545898438,776.3020629882812,656.8297119140625,1030.9013671875,876.8761596679688,1285.4061279296875
1261,544.69287109375,784.9228515625,630.2481689453125,1043.7452392578125,879.6395874023438,1261.1041259765625
1262,544.4436645507812,784.3225708007812,607.5208129882812,1051.6136474609375,856.2088623046875,1245.7935791015625
1263,532.1730346679688,798.5303344726562,570.8876953125,1063.421875,815.75244140625,1238.5198974609375
